owner,repository,category,stars,forks,watchers,subscribers,open_issues,size,language,topics_count,license,default_branch,contributors,releases,branches,readme_size,has_wiki,has_projects,has_issues,has_pages,archived,disabled,created_at,updated_at,pushed_at
codecrafters-io,build-your-own-x,Enterprise,525013,49654,525013,6789,522,1100,Markdown,6,No License,master,30,0,1,46668,0,0,1,0,0,0,2018-05-09 12:03:18+00:00,2026-07-14 12:12:04+00:00,2026-06-25 14:41:09+00:00
sindresorhus,awesome,Enterprise,484816,35856,484816,8266,92,1565,Unknown,5,CC0-1.0,main,30,0,2,79614,0,0,1,1,0,0,2014-07-11 13:42:37+00:00,2026-07-14 12:19:13+00:00,2026-06-30 18:21:16+00:00
freeCodeCamp,freeCodeCamp,Enterprise,451795,45613,451795,8671,276,578174,TypeScript,15,BSD-3-Clause,main,30,0,3,6648,0,1,1,0,0,0,2014-12-24 17:49:19+00:00,2026-07-14 12:18:47+00:00,2026-07-14 10:16:52+00:00
public-apis,public-apis,Enterprise,449929,49467,449929,4611,1551,6970,Python,13,MIT,master,30,0,3,221074,0,0,1,0,0,0,2016-03-20 23:49:42+00:00,2026-07-14 12:19:03+00:00,2026-07-13 15:58:22+00:00
EbookFoundation,free-programming-books,Enterprise,392068,66525,392068,9798,77,21557,Python,5,CC-BY-4.0,main,30,0,21,15921,0,0,1,1,0,0,2013-10-11 06:50:37+00:00,2026-07-14 12:14:04+00:00,2026-07-04 21:45:40+00:00
openclaw,openclaw,Enterprise,382901,80376,382901,1779,6547,1903778,TypeScript,7,NOASSERTION,main,30,30,30,87538,0,0,1,0,0,0,2025-11-24 10:16:47+00:00,2026-07-14 12:19:22+00:00,2026-07-14 12:19:22+00:00
nilbuild,developer-roadmap,Enterprise,360855,44527,360855,6842,12,361438,TypeScript,18,NOASSERTION,master,30,1,30,9339,1,0,1,0,0,0,2017-03-15 13:45:52+00:00,2026-07-14 12:18:34+00:00,2026-07-14 12:01:33+00:00
donnemartin,system-design-primer,Enterprise,357538,57204,357538,6860,571,11277,Python,13,NOASSERTION,master,30,0,2,109830,1,1,1,0,0,0,2017-02-26 16:15:28+00:00,2026-07-14 12:19:12+00:00,2026-03-20 01:52:19+00:00
jwasham,coding-interview-university,Enterprise,356174,84279,356174,8564,122,22700,Unknown,12,CC-BY-SA-4.0,main,30,0,2,136655,0,0,1,0,0,0,2016-06-06 02:34:12+00:00,2026-07-14 12:13:19+00:00,2025-08-28 14:42:47+00:00
vinta,awesome-python,Enterprise,308086,28304,308086,6123,17,5775,Python,6,NOASSERTION,master,30,0,1,82251,0,0,0,1,0,0,2014-06-27 21:00:06+00:00,2026-07-14 12:13:17+00:00,2026-07-14 07:27:15+00:00
awesome-selfhosted,awesome-selfhosted,Enterprise,305373,14305,305373,3237,0,17131,Unknown,8,NOASSERTION,master,30,1,1,322863,0,0,0,0,0,0,2015-06-01 02:33:17+00:00,2026-07-14 12:07:04+00:00,2026-07-14 00:08:12+00:00
996icu,996.ICU,Enterprise,276384,20798,276384,4206,16697,189351,Unknown,0,NOASSERTION,master,30,0,1,6897,0,0,0,0,0,0,2019-03-26 07:31:14+00:00,2026-07-14 09:49:52+00:00,2025-08-22 06:01:29+00:00
practical-tutorials,project-based-learning,Enterprise,273260,35242,273260,3465,287,445,Python,8,MIT,master,30,0,2,52344,1,1,1,0,0,0,2017-04-12 05:07:46+00:00,2026-07-14 12:13:18+00:00,2026-07-13 10:06:14+00:00
obra,superpowers,Enterprise,254390,22721,254390,1015,330,3832,Shell,8,MIT,main,30,10,30,10737,1,1,1,0,0,0,2025-10-09 19:45:18+00:00,2026-07-14 12:20:17+00:00,2026-07-13 21:25:55+00:00
react,react,Enterprise,246464,51208,246464,6602,1204,1020069,JavaScript,6,MIT,main,30,30,30,5317,0,0,1,1,0,0,2013-05-24 16:15:54+00:00,2026-07-14 11:14:22+00:00,2026-07-14 12:07:54+00:00
torvalds,linux,Enterprise,239424,63466,239424,8378,3,6323337,C,0,NOASSERTION,master,0,0,1,6043,0,1,0,0,0,0,2011-09-04 22:48:12+00:00,2026-07-14 12:18:33+00:00,2026-07-13 23:16:13+00:00
trimstray,the-book-of-secret-knowledge,Enterprise,233201,13906,233201,2817,158,1748,Unknown,19,MIT,master,30,0,1,211676,0,0,0,0,0,0,2018-06-23 10:43:14+00:00,2026-07-14 12:06:31+00:00,2024-11-19 14:00:38+00:00
affaan-m,ECC,Enterprise,229464,35149,229464,1257,106,39505,JavaScript,8,MIT,main,30,14,29,90528,1,1,1,0,0,0,2026-01-18 00:51:51+00:00,2026-07-14 12:17:59+00:00,2026-07-14 01:31:12+00:00
TheAlgorithms,Python,Enterprise,222680,50835,222680,5978,1014,16568,Python,14,MIT,master,30,0,10,2807,1,1,1,1,0,0,2016-07-16 09:44:01+00:00,2026-07-14 12:11:04+00:00,2026-07-11 00:39:35+00:00
NousResearch,hermes-agent,Enterprise,214634,39891,214634,827,24439,495208,Python,16,MIT,main,30,21,30,17617,1,1,1,1,0,0,2025-07-22 22:22:28+00:00,2026-07-14 12:19:27+00:00,2026-07-14 12:16:22+00:00
