owner,repository,category
codecrafters-io,build-your-own-x,Enterprise
sindresorhus,awesome,Enterprise
freeCodeCamp,freeCodeCamp,Enterprise
public-apis,public-apis,Enterprise
EbookFoundation,free-programming-books,Enterprise
openclaw,openclaw,Enterprise
nilbuild,developer-roadmap,Enterprise
donnemartin,system-design-primer,Enterprise
jwasham,coding-interview-university,Enterprise
vinta,awesome-python,Enterprise
awesome-selfhosted,awesome-selfhosted,Enterprise
996icu,996.ICU,Enterprise
practical-tutorials,project-based-learning,Enterprise
obra,superpowers,Enterprise
react,react,Enterprise
torvalds,linux,Enterprise
trimstray,the-book-of-secret-knowledge,Enterprise
affaan-m,ECC,Enterprise
TheAlgorithms,Python,Enterprise
NousResearch,hermes-agent,Enterprise
vuejs,vue,Enterprise
ossu,computer-science,Enterprise
n8n-io,n8n,Enterprise
tensorflow,tensorflow,Enterprise
trekhleb,javascript-algorithms,Enterprise
conda-forge,miniforge,Growing
InsertKoinIO,koin,Growing
go-swagger,go-swagger,Growing
pagekit,vue-resource,Growing
ruby-grape,grape,Growing
Theano,Theano,Growing
samratashok,nishang,Growing
luanfujun,deep-photo-styletransfer,Growing
data-privacy-stack,presidio,Growing
t8y2,dbx,Growing
microsoft,vscode-copilot-chat,Growing
WebKit,WebKit,Growing
QianMo,Game-Programmer-Study-Notes,Growing
KoljaB,RealtimeSTT,Growing
unoplatform,uno,Growing
shidenggui,easytrader,Growing
Visualize-ML,Book4_Power-of-Matrix,Growing
rubickCenter,rubick,Growing
prometheus-operator,prometheus-operator,Growing
r-lyeh,single_file_libs,Growing
TypeCellOS,BlockNote,Growing
MrXujiang,h5-Dooring,Growing
akaunting,akaunting,Growing
chaitin,PandaWiki,Growing
microsoft,magentic-ui,Growing
daliansky,Hackintosh,Growing
CollabCodeTech,backend-challenges,Growing
johnkerl,miller,Growing
aandrew-me,ytDownloader,Growing
drivendataorg,cookiecutter-data-science,Growing
git-bug,git-bug,Growing
oblador,react-native-animatable,Growing
alexanderepstein,Bash-Snippets,Growing
google-deepmind,sonnet,Growing
npm,cli,Growing
cncf,landscape,Growing
awesome-lists,awesome-bash,Growing
Dr-TSNG,ZygiskNext,Growing
gcla,termshark,Growing
lyhue1991,eat_tensorflow2_in_30_days,Growing
stillwater-sc,universal,SmallActive
harismuneer,Library-Management-System-JAVA,SmallActive
zchuz,CoT-Reasoning-Survey,SmallActive
liangdabiao,amazon-sorftime-research-MCP-skill,SmallActive
scikit-build,scikit-build-core,SmallActive
Kruithne,wow.export,SmallActive
ircfspace,tconfig,SmallActive
mercurykd,vpnbot,SmallActive
arco-design,arco-design-mobile,SmallActive
mchughalex,skate3recomp,SmallActive
VikashLoomba,copilot-mcp,SmallActive
mxstbr,mxstbr.com,SmallActive
nickel-lang,organist,SmallActive
sketchpunklabs,ossos,SmallActive
DataDog,kafka-kit,SmallActive
Hub-Tian,UAVs_Meet_LLMs,SmallActive
