owner,repository,category,stars,forks,watchers,subscribers,open_issues,size,language,topics_count,license,default_branch,contributors,releases,branches,readme_size,has_wiki,has_projects,has_issues,has_pages,archived,disabled,created_at,updated_at,pushed_at
codecrafters-io,build-your-own-x,Enterprise,525013,49654,525013,6789,522,1100,Markdown,6,,master,30,0,1,46668,False,False,True,False,False,False,2018-05-09T12:03:18Z,2026-07-14T12:12:04Z,2026-06-25T14:41:09Z
sindresorhus,awesome,Enterprise,484816,35856,484816,8266,92,1565,,5,CC0-1.0,main,30,0,2,79614,False,False,True,True,False,False,2014-07-11T13:42:37Z,2026-07-14T12:19:13Z,2026-06-30T18:21:16Z
freeCodeCamp,freeCodeCamp,Enterprise,451795,45613,451795,8671,276,578174,TypeScript,15,BSD-3-Clause,main,30,0,3,6648,False,True,True,False,False,False,2014-12-24T17:49:19Z,2026-07-14T12:18:47Z,2026-07-14T10:16:52Z
public-apis,public-apis,Enterprise,449929,49467,449929,4611,1551,6970,Python,13,MIT,master,30,0,3,221074,False,False,True,False,False,False,2016-03-20T23:49:42Z,2026-07-14T12:19:03Z,2026-07-13T15:58:22Z
EbookFoundation,free-programming-books,Enterprise,392068,66525,392068,9798,77,21557,Python,5,CC-BY-4.0,main,30,0,21,15921,False,False,True,True,False,False,2013-10-11T06:50:37Z,2026-07-14T12:14:04Z,2026-07-04T21:45:40Z
openclaw,openclaw,Enterprise,382901,80376,382901,1779,6547,1903778,TypeScript,7,NOASSERTION,main,30,30,30,87538,False,False,True,False,False,False,2025-11-24T10:16:47Z,2026-07-14T12:19:22Z,2026-07-14T12:19:22Z
nilbuild,developer-roadmap,Enterprise,360855,44527,360855,6842,12,361438,TypeScript,18,NOASSERTION,master,30,1,30,9339,True,False,True,False,False,False,2017-03-15T13:45:52Z,2026-07-14T12:18:34Z,2026-07-14T12:01:33Z
donnemartin,system-design-primer,Enterprise,357538,57204,357538,6860,571,11277,Python,13,NOASSERTION,master,30,0,2,109830,True,True,True,False,False,False,2017-02-26T16:15:28Z,2026-07-14T12:19:12Z,2026-03-20T01:52:19Z
jwasham,coding-interview-university,Enterprise,356174,84279,356174,8564,122,22700,,12,CC-BY-SA-4.0,main,30,0,2,136655,False,False,True,False,False,False,2016-06-06T02:34:12Z,2026-07-14T12:13:19Z,2025-08-28T14:42:47Z
vinta,awesome-python,Enterprise,308086,28304,308086,6123,17,5775,Python,6,NOASSERTION,master,30,0,1,82251,False,False,False,True,False,False,2014-06-27T21:00:06Z,2026-07-14T12:13:17Z,2026-07-14T07:27:15Z
awesome-selfhosted,awesome-selfhosted,Enterprise,305373,14305,305373,3237,0,17131,,8,NOASSERTION,master,30,1,1,322863,False,False,False,False,False,False,2015-06-01T02:33:17Z,2026-07-14T12:07:04Z,2026-07-14T00:08:12Z
996icu,996.ICU,Enterprise,276384,20798,276384,4206,16697,189351,,0,NOASSERTION,master,30,0,1,6897,False,False,False,False,False,False,2019-03-26T07:31:14Z,2026-07-14T09:49:52Z,2025-08-22T06:01:29Z
practical-tutorials,project-based-learning,Enterprise,273260,35242,273260,3465,287,445,Python,8,MIT,master,30,0,2,52344,True,True,True,False,False,False,2017-04-12T05:07:46Z,2026-07-14T12:13:18Z,2026-07-13T10:06:14Z
obra,superpowers,Enterprise,254390,22721,254390,1015,330,3832,Shell,8,MIT,main,30,10,30,10737,True,True,True,False,False,False,2025-10-09T19:45:18Z,2026-07-14T12:20:17Z,2026-07-13T21:25:55Z
react,react,Enterprise,246464,51208,246464,6602,1204,1020069,JavaScript,6,MIT,main,30,30,30,5317,False,False,True,True,False,False,2013-05-24T16:15:54Z,2026-07-14T11:14:22Z,2026-07-14T12:07:54Z
